1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,y
-35.58114,163.35344,-17.86237,19.962143,-32.183823,-6.4225187,-6.055574,-7.2401314,-15.267984,-3.286782,-14.788784,2.97186,-11.960172,1.0419492,-9.624078,1.6476464,-4.433385,-0.33674705,-3.1424444,0.2473159,-1.8259999,1.4739026,-3.5482244,-0.12491848,-2.4317074,1.4666488,-1.4333516,1.0558339,-1.5393063,1.3208181,-1.752372,0.4089957,-0.9889671,0.9710359,-0.68819344,2.1385546,-0.14620484,1.2705011,-1.7541378,-0.22462645,1
-479.36682,76.08946,-16.183508,-20.713434,-20.821577,-8.846854,-11.004159,2.9636497,4.250468,4.5710163,-1.2140538,3.3508651,7.106771,6.6093216,2.0367978,4.1224623,3.6588328,4.409102,1.0487214,3.6310222,2.9353058,3.0649385,0.59552175,1.8580071,0.3189663,2.1167698,0.99896866,2.2283812,-0.7159639,-0.24464412,-1.457674,1.2590092,0.035302654,1.3492209,0.839146,1.9737033,0.686084,1.392265,0.53014964,2.1723278,1
-218.99684,94.67662,-83.51977,26.590256,-22.879194,25.715227,5.8749857,0.95257235,-15.385031,-12.2900505,7.4644465,0.8616559,-3.6526017,-17.99543,0.49312207,-5.635651,-3.2747433,2.5275533,0.028914435,-11.059529,-2.8380864,4.6928105,-9.68587,0.81386864,-5.356232,-4.323522,-1.1565547,-4.9232917,1.7694243,-1.1415894,-5.89346,0.7372621,0.23310094,-2.7862067,1.5101676,-1.3933785,-1.1632733,-3.488677,1.8687991,0.7713616,1
-35.56024,163.59233,-54.953472,7.175001,-14.188097,0.49652174,-15.122075,-6.3338494,-12.589488,-4.574087,-8.5269785,-2.5434585,-6.855833,-3.0499506,-7.7684517,-0.20605691,-4.5910273,2.1007173,-1.4848851,0.39588955,-3.9807427,-1.9149756,-4.732759,-0.96835476,-2.3272219,1.5945003,-0.98284996,-0.22652051,-3.1009152,-0.009238294,-2.233807,-0.39802364,-1.2775282,1.8082811,-3.1025233,0.21751958,-1.217685,0.90003544,-0.68128055,0.59773564,1
-107.4948,126.13529,-44.552822,12.459032,-28.295452,17.668823,-15.319936,21.622501,-13.361223,5.410988,-1.3063736,9.313302,-1.0395423,10.634882,-8.294067,3.3321576,0.21064027,4.53491,3.8554525,-1.3850505,2.0484247,0.9206506,-0.78088325,-2.1709268,0.73247963,1.8484193,-1.2345223,0.2581351,1.731413,-0.40129364,-0.81028783,0.759069,1.3968462,1.0503334,-1.58637,1.4411299,-1.6800703,2.905087,4.3662844,1.7052059,1
-162.82387,142.19908,4.101613,51.497772,-1.8319343,21.146667,3.7985241,9.456493,4.610153,5.3075147,7.5671844,4.191818,4.5328484,0.24302357,1.7357534,1.529026,1.3274875,0.88256454,-1.8387116,2.6292126,-0.2541548,1.8619171,-0.25730777,4.0845537,0.05252986,3.5928707,-3.5076895,2.1676257,-1.5844597,4.2681866,0.56596345,1.8131359,-4.0673485,0.1590811,0.70308036,2.0055034,2.2170577,2.5860543,0.7581083,0.10228823,1
-281.72568,102.80353,-6.6983376,-4.663267,-7.736099,-6.917302,0.18924947,4.4510527,0.61873776,3.882472,-0.9219045,2.2585573,-0.81117153,3.4201875,0.6210114,2.0966437,-1.3754013,3.6869073,-1.3834758,-0.43281788,-2.649392,1.433641,-2.319693,0.4193912,-2.2900224,1.2217976,-2.8393648,1.2448657,-0.194469,2.0444076,-1.6281769,2.4255886,-1.0431494,1.2039053,0.73095256,0.21374696,-2.0818164,1.2421577,-1.7069147,0.35816008,1
-318.9041,30.929375,-69.22845,26.810133,-38.226948,49.76732,9.968542,16.03769,-20.821423,-17.61734,-2.622244,5.440406,15.881796,-13.955281,3.672894,-4.5311317,3.0605135,3.2391086,10.938034,-10.939575,-9.118685,3.3167093,-7.1628227,2.9584699,-7.516239,-2.491677,-4.3441725,0.5826331,1.9805903,1.2338004,-1.224844,1.9402862,2.8723269,-2.416987,0.5493263,-5.0233784,-2.0991833,-6.704571,1.5248913,-2.793309,1
-222.81808,102.21596,-151.69855,17.841024,-22.279654,32.902996,32.070976,19.04735,-18.587023,-2.940533,10.588439,-7.255039,7.0597167,-12.684153,1.8320569,5.107716,5.882815,-4.666188,-2.052138,-9.355873,-4.5108857,17.124224,-6.5672956,-0.042499304,-2.2185485,-0.7373617,6.119315,-2.2898977,1.7079523,-3.3429828,-4.4195433,0.64420456,-0.4711326,-0.6408707,-1.0323181,-1.4295176,-0.13948199,-6.083555,-1.259917,-0.22331718,1
-282.18655,45.709743,-104.93236,21.192945,-23.603151,39.849922,12.856011,-0.018351573,-14.163862,-13.569975,6.763964,12.8924675,10.287016,-14.228997,0.77485436,-1.1426274,5.161246,3.5826197,4.977669,-8.759398,-14.205207,5.6313605,-3.0542488,-0.9541678,-1.2363766,-7.2781143,-6.0067616,0.9088769,1.4642161,7.3320975,-3.2004516,-6.931915,3.044031,-2.5664642,3.4054909,-3.0383024,-3.6426408,-8.781766,-4.9577246,4.78087,1
-312.9724,28.45455,-102.63294,23.51441,-31.521713,56.020126,3.004885,9.784996,-19.078527,-12.126958,26.925146,7.258089,-0.390782,-21.230833,11.279024,-2.4293666,5.2006793,11.307681,-10.663347,-16.116093,8.984161,12.975951,-11.811188,4.7520685,-10.982704,0.89793056,3.9869587,-2.3128033,5.574805,-18.073534,-0.17371705,9.404508,-3.3196192,-3.7991078,-3.2118056,-1.842424,-3.096683,6.13421,1.7610271,-10.075728,1
-28.002638,156.9339,-45.58475,11.574871,-29.567022,-2.5911853,-6.6980834,-5.2457495,-15.482823,-1.6234711,-11.041979,3.3862062,-12.364908,4.8449707,-7.2223635,3.1533601,-3.6635292,1.7837307,-1.8379946,-0.8179731,-3.9012778,0.32689324,-2.8957405,0.21733157,-1.9320433,0.52797717,-0.5034269,0.583376,-1.3378943,1.072338,-1.1478163,0.2801434,-2.2176409,-0.27952278,-1.3791337,-0.1656069,-2.5172832,0.073388666,-1.2584786,0.26112267,1
-90.061844,104.53195,-9.291707,9.953667,6.2022133,16.23893,-8.245687,-2.4032152,-1.6169875,5.4360747,2.1664593,15.594036,4.873944,4.415295,-1.5109123,-3.246705,-5.4746227,3.6462,-3.0553336,2.659341,0.8236342,6.161258,3.5524309,5.680637,-2.4407315,2.9623632,-7.192406,-3.4051692,-3.6282914,-0.59523255,-2.4080975,-0.10468606,-2.8847694,6.6228633,-0.39189148,4.52296,1.8201013,2.1829076,-0.48091096,2.4151523,1
-313.66257,19.357107,-84.389435,41.53514,-1.7011381,40.613674,-19.236418,4.7795134,0.22243072,5.200328,-8.016302,-12.63024,16.978386,-12.419673,8.7539,-1.9976766,2.5619116,-6.3796344,-7.249587,12.298996,-5.2415586,-8.954045,-1.5424168,2.6347733,-6.7538905,-3.376625,-4.2745514,1.3460624,2.7063065,-6.912489,0.5243769,5.825364,-2.8341205,-1.1832442,-0.26672804,-4.385236,-0.859569,-6.638148,2.9644291,-1.6188755,1
-174.86592,195.34639,-32.953438,-1.0729437,-27.82455,-5.00289,-7.099101,8.462259,5.4209294,-9.931765,-0.97645456,0.64010435,-0.24870272,-3.334427,4.3971744,-3.821563,-3.1437051,0.47381115,-4.223471,1.142515,-5.753502,1.6469721,-3.462391,2.873042,-2.5533218,1.0717361,-3.3612196,-1.5667437,-1.1928093,-1.9083326,-0.2289811,-1.2268561,0.65631896,0.15487993,-1.0814247,-0.9495217,-1.332571,-2.566059,-1.941,0.107082576,1
